Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,12,9,13,45,50,214,219,219,223,5,0,0,9,0,0,0,0,0,0,80
3,12,1,13,45,50,214,219,219,223,13,0,0,1,0,0,0,1,0,0,80
3,12,10,24,45,50,214,219,219,223,13,0,0,8,0,0,0,0,0,0,71
5,12,17,24,45,50,214,219,219,223,6,0,0,15,0,0,0,0,0,0,71
5,12,17,24,45,50,214,219,219,223,6,0,0,17,0,0,0,0,0,0,71
5,12,17,24,45,50,214,219,219,223,6,0,0,15,0,0,0,0,0,0,71
2,12,8,10,45,50,214,219,219,223,3,0,0,8,0,0,0,0,0,0,80
2,12,15,18,45,50,214,219,219,223,3,0,0,11,0,0,0,0,0,0,55
1,12,19,29,45,50,214,219,219,223,8,0,0,19,0,0,0,0,0,0,46
2,12,10,13,45,50,214,219,219,223,3,0,0,9,0,0,0,0,0,0,60
1,17,17,36,50,69,214,219,219,223,19,0,0,9,0,0,0,0,0,0,37
3,6,48,55,46,55,214,219,219,223,8,0,0,48,0,0,0,0,0,0,17
3,6,13,15,46,55,214,219,219,223,1,0,0,12,0,0,0,0,0,0,46
1,17,2,15,50,69,214,219,219,223,14,0,0,2,0,0,0,0,0,0,49
5,5,5,20,22,35,214,219,219,223,14,0,0,5,0,0,0,0,0,0,46
3,25,7,20,49,60,214,219,219,223,12,0,0,5,0,0,0,0,0,0,46
1,6,5,5,46,55,214,219,219,223,3,0,0,5,0,0,0,0,0,0,47
2,5,5,5,22,35,214,219,219,223,1,0,0,3,0,0,0,0,0,0,46
2,17,1,9,50,69,214,219,219,223,8,0,0,1,0,0,0,0,0,0,38
1,17,23,44,30,44,214,219,219,223,20,0,0,10,0,0,0,12,0,0,5
1,17,23,44,30,44,214,219,219,223,20,0,0,5,0,0,0,17,0,0,5
3,17,2,30,30,44,214,219,219,223,29,0,0,2,0,0,0,0,0,0,17
4,17,28,43,30,44,214,219,219,223,14,0,0,24,0,0,0,0,0,0,6
2,17,1,30,30,44,214,219,219,223,30,0,0,1,0,0,0,1,0,0,17
3,25,9,10,49,60,214,219,219,223,1.5,0,0,3,0,0,0,0,0,0,37
3,25,9,10,49,60,214,219,219,223,2,0,0,7,0,0,0,0,0,0,37
2,17,6,9,50,69,214,219,219,223,2,0,0,6,0,0,0,0,0,0,40
