Key,Cost of Delay,Resolved Name,Story Points,Created Date,First In Progress Date,Last Resolved Date,Cycle Time (Bus. Days),Lead Time (Bus. Days),Epic Name
KEY-248,Standard,Released,1,2018-11-20T11:44:01,2018-12-11T14:24:01,2018-12-11T14:25:01,1,16,Address logistical inefficiencies
KEY-249,Standard,Released,3,2018-11-20T11:44:01,2018-12-17T14:36:01,2019-01-18T07:39:01,24,41,Create new customer channel
KEY-250,Standard,Rejected,3,2018-11-20T11:45:01,2019-01-21T08:01:01,2019-02-26T16:33:01,27,71,Move to new office space
KEY-251,Standard,Rejected,0,2018-11-20T11:45:01,2019-01-18T10:15:01,2019-01-18T10:15:01,1,41,Create new customer channel
KEY-253,Standard,Rejected,0,2018-11-20T11:47:01,2019-01-18T10:15:01,2019-01-18T10:15:01,1,41,Prevent employee attrition
KEY-254,Standard,Rejected,3,2018-11-20T11:48:01,2019-01-14T21:22:01,2019-01-15T08:53:01,1,40,Prevent employee attrition
KEY-255,Standard,Rejected,0,2018-11-20T11:49:01,2019-01-18T10:15:01,2019-01-18T10:15:01,1,41,Create new customer channel
KEY-256,Standard,Rejected,3,2018-11-20T11:49:01,2018-12-17T14:36:01,2019-01-29T08:22:01,31,50,Prevent employee attrition
KEY-257,Standard,Rejected,3,2018-11-20T11:49:01,2019-01-14T21:22:01,2019-01-15T08:53:01,1,40,Create new customer channel
KEY-258,Standard,Released,0,2018-11-20T11:51:01,2019-02-25T16:53:01,2019-02-25T16:54:01,1,70,Create new customer channel
KEY-259,Standard,Released,1,2018-11-20T12:00:01,2019-01-15T08:41:01,2019-02-08T14:32:01,19,57,Prevent employee attrition
KEY-26,Standard,Rejected,0,2018-10-04T13:30:01,2018-10-05T10:41:01,2018-10-05T10:42:01,1,1,Move to new office space
KEY-260,Standard,Released,2,2018-11-20T12:04:01,2019-01-15T08:35:01,2019-01-15T08:36:01,1,40,Rebuild website
KEY-261,Standard,Released,1,2018-11-20T12:07:01,2019-01-23T13:55:01,2019-01-23T13:56:01,1,47,Rebuild website
KEY-264,Standard,Released,2,2018-11-20T12:39:01,2018-11-27T12:18:01,2019-01-23T12:02:01,41,46,Address product quality issues
KEY-267,Standard,Released,8,2018-11-27T11:38:01,2019-02-26T13:55:01,2019-04-23T15:14:01,41,106,Rebuild website
KEY-268,Standard,Released,5,2018-11-27T12:15:01,2019-02-26T13:55:01,2019-04-23T15:14:01,41,106,Procure office supplies
KEY-269,Standard,Released,5,2018-11-27T13:14:01,2019-02-26T13:56:01,2019-03-04T10:02:01,4,69,Procure office supplies
KEY-27,Standard,Rejected,0,2018-10-04T13:30:01,2019-01-09T09:35:01,2019-01-09T09:35:01,1,69,Move to new office space
KEY-270,Standard,Released,13,2018-11-27T13:19:01,2019-02-08T09:56:01,2019-02-19T11:16:01,8,60,Procure office supplies
KEY-271,Standard,Released,13,2018-11-27T13:21:01,2019-03-19T10:35:01,2019-05-28T11:38:01,51,130,Procure office supplies
KEY-272,Standard,Released,13,2018-11-27T13:26:01,2019-03-19T10:35:01,2019-05-28T11:37:01,51,130,Procure office supplies
KEY-273,Standard,Duplicate,2,2018-12-03T17:06:01,2018-12-06T16:18:01,2018-12-10T22:51:01,3,6,Procure office supplies
KEY-275,Standard,Released,1,2018-12-04T09:44:01,2018-12-14T13:26:01,2019-01-29T16:52:01,33,41,Move to new office space
KEY-28,Standard,Rejected,0,2018-10-04T13:31:01,2018-10-05T10:43:01,2018-10-05T10:44:01,1,1,Move to new office space
KEY-285,Standard,Released,0,2019-01-09T14:43:01,2019-01-09T14:45:01,2019-01-11T14:15:01,2,0,Procure office supplies
KEY-286,Standard,Released,0,2019-01-10T11:17:01,2019-01-10T11:17:01,2019-01-11T14:20:01,2,0,Acquire VC funding
KEY-287,Standard,Released,0,2019-01-10T11:31:01,2019-02-21T15:41:01,2019-02-21T15:41:01,1,31,Prevent employee attrition
KEY-288,Standard,Released,5,2019-01-14T11:44:01,2019-01-15T16:31:01,2019-01-16T09:50:01,1,2,Rebrand struggling product
KEY-289,Standard,Won't Do,0,2019-01-14T11:53:01,2019-01-15T16:32:01,2019-02-20T14:51:01,26,28,Rebrand struggling product
KEY-29,Standard,Rejected,0,2018-10-04T13:31:01,2019-01-09T09:32:01,2019-01-09T09:32:01,1,69,Move to new office space
KEY-290,Standard,Released,5,2019-01-14T12:01:01,2019-01-15T16:29:01,2019-02-13T16:07:01,21,23,Rebrand struggling product
KEY-291,Standard,Released,0,2019-01-15T12:35:01,2019-01-17T12:21:01,2019-01-31T15:02:01,11,11,Improve hiring strategy
